Sale_ID,Book_ID,Customer_ID,Quantity,Date
S00001,B033,C128,3,2025-12-22
S00002,B035,C048,4,2025-06-14
S00003,B011,C086,2,2024-09-27
S00004,B042,C085,5,2025-01-31
S00005,B053,C081,1,2025-09-22
S00006,B100,C012,5,2024-10-21
S00007,B041,C062,2,2024-07-12
S00008,B100,C124,2,2024-05-07
S00009,B017,C112,2,2024-08-01
S00010,B035,C092,3,2024-06-27
S00011,B095,C195,4,2024-01-14
S00012,B052,C111,1,2025-12-19
S00013,B057,C104,2,2024-05-19
S00014,B005,C095,3,2024-09-09
S00015,B057,C136,1,2024-06-05
S00016,B051,C024,4,2024-01-28
S00017,B096,C011,1,2025-02-28
S00018,B068,C186,1,2024-08-13
S00019,B044,C002,5,2024-06-29
S00020,B084,C106,3,2025-07-12
S00021,B058,C144,4,2025-06-14
S00022,B033,C033,4,2024-09-02
S00023,B018,C094,5,2024-03-02
S00024,B077,C022,3,2025-07-15
S00025,B089,C147,5,2024-09-25
S00026,B092,C045,5,2024-03-22
S00027,B077,C025,3,2024-04-13
S00028,B061,C169,2,2024-05-25
S00029,B065,C177,1,2024-07-22
S00030,B090,C139,2,2024-09-30
S00031,B067,C135,2,2024-10-23
S00032,B067,C016,3,2024-09-11
S00033,B071,C111,3,2024-01-25
S00034,B071,C075,4,2024-09-20
S00035,B061,C168,5,2024-03-08
S00036,B040,C150,1,2025-02-06
S00037,B048,C184,5,2024-05-16
S00038,B046,C073,5,2024-05-14
S00039,B097,C051,1,2024-10-21
S00040,B047,C118,1,2025-09-29
S00041,B091,C076,3,2024-03-19
S00042,B065,C184,1,2024-06-09
S00043,B017,C012,1,2025-07-21
S00044,B002,C165,3,2025-01-24
S00045,B061,C109,1,2025-11-01
S00046,B014,C062,4,2025-08-05
S00047,B031,C195,3,2025-11-28
S00048,B061,C044,5,2024-09-07
S00049,B038,C010,4,2025-04-18
S00050,B064,C059,3,2025-10-13
S00051,B037,C163,5,2025-10-09
S00052,B018,C116,1,2025-03-18
S00053,B082,C136,2,2024-02-24
S00054,B038,C116,5,2024-10-08
S00055,B088,C160,4,2025-01-27
S00056,B075,C145,2,2025-02-06
S00057,B097,C029,1,2025-02-14
S00058,B064,C009,4,2024-01-15
S00059,B005,C113,3,2025-12-02
S00060,B003,C029,5,2025-05-29
S00061,B059,C161,2,2024-10-04
S00062,B038,C169,3,2025-04-26
S00063,B036,C175,4,2025-11-29
S00064,B041,C197,3,2024-01-19
S00065,B050,C040,2,2025-08-06
S00066,B070,C104,1,2025-10-09
S00067,B055,C015,5,2025-12-07
S00068,B028,C173,3,2024-03-23
S00069,B091,C064,2,2025-03-05
S00070,B079,C087,4,2024-08-13
S00071,B075,C151,3,2025-04-15
S00072,B068,C051,4,2024-01-31
S00073,B059,C170,1,2025-05-29
S00074,B021,C129,2,2024-09-05
S00075,B018,C156,2,2024-12-20
S00076,B027,C004,3,2024-11-27
S00077,B033,C024,5,2025-06-26
S00078,B009,C125,1,2024-10-11
S00079,B036,C138,5,2024-10-16
S00080,B058,C022,5,2025-04-13
S00081,B017,C142,5,2025-02-06
S00082,B038,C145,5,2025-01-02
S00083,B016,C132,5,2024-09-06
S00084,B035,C154,3,2025-09-18
S00085,B039,C058,5,2025-02-06
S00086,B035,C187,1,2024-08-06
S00087,B007,C134,4,2025-11-23
S00088,B062,C089,3,2024-01-03
S00089,B030,C107,3,2025-09-26
S00090,B013,C199,4,2025-06-09
S00091,B032,C157,3,2024-08-23
S00092,B022,C079,2,2024-05-10
S00093,B056,C032,5,2024-05-28
S00094,B065,C110,5,2024-11-14
S00095,B084,C146,2,2025-09-09
S00096,B091,C133,4,2025-11-28
S00097,B044,C083,4,2024-08-09
S00098,B092,C014,2,2025-07-19
S00099,B094,C128,2,2024-09-23
S00100,B076,C031,5,2025-10-09
S00101,B076,C052,1,2024-04-26
S00102,B057,C071,3,2025-04-24
S00103,B079,C080,2,2025-02-14
S00104,B084,C049,4,2024-05-16
S00105,B080,C114,4,2025-06-11
S00106,B094,C043,3,2025-07-06
S00107,B048,C183,5,2025-03-06
S00108,B017,C064,2,2024-11-20
S00109,B098,C076,4,2025-11-08
S00110,B083,C033,1,2024-10-01
S00111,B046,C182,4,2024-09-09
S00112,B047,C030,5,2025-04-27
S00113,B038,C119,2,2024-01-11
S00114,B003,C023,2,2025-09-27
S00115,B020,C079,4,2024-07-15
S00116,B057,C175,5,2025-12-21
S00117,B082,C045,1,2024-01-19
S00118,B051,C123,3,2024-04-28
S00119,B076,C195,3,2025-05-02
S00120,B007,C058,5,2024-02-26
S00121,B094,C120,3,2025-02-18
S00122,B063,C050,4,2024-02-19
S00123,B047,C077,5,2025-07-08
S00124,B057,C089,5,2025-03-15
S00125,B019,C189,1,2024-06-30
S00126,B025,C153,2,2025-01-22
S00127,B052,C163,5,2024-10-27
S00128,B082,C065,4,2025-09-06
S00129,B098,C070,3,2024-05-24
S00130,B061,C150,4,2025-11-08
S00131,B100,C086,5,2024-01-01
S00132,B033,C032,4,2024-02-29
S00133,B065,C089,3,2024-01-28
S00134,B010,C030,5,2025-04-01
S00135,B056,C076,2,2025-02-28
S00136,B014,C152,5,2025-02-08
S00137,B012,C095,1,2025-01-25
S00138,B070,C113,3,2024-10-12
S00139,B081,C017,4,2025-03-05
S00140,B091,C050,4,2025-12-14
S00141,B009,C005,3,2024-02-21
S00142,B055,C187,2,2025-09-02
S00143,B061,C119,3,2025-06-24
S00144,B061,C035,4,2024-02-17
S00145,B019,C054,4,2025-06-03
S00146,B025,C144,3,2025-01-12
S00147,B095,C006,5,2025-09-30
S00148,B056,C157,1,2024-05-18
S00149,B028,C047,2,2024-11-13
S00150,B021,C043,4,2024-06-23
S00151,B057,C018,5,2025-06-12
S00152,B060,C123,1,2025-03-20
S00153,B044,C173,2,2025-02-12
S00154,B036,C085,2,2025-11-29
S00155,B062,C142,5,2025-12-19
S00156,B089,C021,5,2024-06-27
S00157,B010,C031,3,2024-01-07
S00158,B061,C139,3,2025-06-08
S00159,B044,C009,2,2025-02-05
S00160,B007,C115,5,2024-06-12
S00161,B073,C190,1,2025-11-18
S00162,B061,C151,3,2025-05-14
S00163,B048,C165,3,2025-09-08
S00164,B093,C018,4,2024-03-09
S00165,B088,C131,3,2024-12-17
S00166,B049,C002,5,2025-12-09
S00167,B062,C020,5,2025-12-26
S00168,B063,C196,3,2024-09-19
S00169,B018,C034,4,2024-01-04
S00170,B074,C031,1,2024-12-21
S00171,B082,C022,1,2025-04-19
S00172,B079,C185,3,2024-08-04
S00173,B062,C186,4,2024-08-08
S00174,B054,C076,5,2025-09-20
S00175,B072,C155,4,2024-08-26
S00176,B006,C089,3,2024-07-30
S00177,B080,C128,1,2025-05-16
S00178,B007,C174,1,2025-09-11
S00179,B074,C040,4,2025-01-24
S00180,B074,C087,3,2024-12-05
S00181,B019,C061,4,2025-09-01
S00182,B089,C036,5,2024-03-05
S00183,B081,C116,3,2024-05-06
S00184,B067,C034,4,2024-01-16
S00185,B036,C052,4,2024-04-08
